,latitude,d_airport,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,flight_no,airline_iata,on_ground,vertical_speed,callsign,airline_icao
0,39.83,0.0,36.41,347ade9a,4B17DD,96,45000,506,,GLF5,HB-JAZ,1711211508,GVA,ALA,PP550,PP,0,64,PJS550,PJS
3,41.02,0.0,48.95,347afa46,151F37,330,43000,466,,GLEX,RA-73527,1711211509,AZI,VKO,RSJ9627,RS,0,0,RSJ9627,RSJ
4,47.58,0.0,46.54,347b296b,142AFC,132,43000,522,,GLF4,RA-11044,1711211507,GOJ,,MMM9632,MM,0,0,MMM9632,MMM
5,40.41,0.0,-7.18,347b17c4,A0E1E8,49,43000,482,,GLEX,N156QS,1711211510,CAT,CGN,,,0,0,N156QS,EJA
12,45.21,0.0,0.08,347b2a2e,44A0C8,207,42525,392,,C56X,OO-HFH,1711211509,RTM,XRY,,,0,960,OOHFH,BNJ
13,48.83,0.0,2.0,347b33b9,3009C5,142,41700,504,,FA7X,I-FDIA,1711211509,FAB,CIA,SIO626,SI,0,640,SIO626,SIO
17,37.34,0.0,-6.24,347b2a22,3CCBB6,213,41000,340,,C55B,D-CELI,1711211507,PNA,BER,,,0,0,EUL5R,EUL
18,35.4,0.0,-9.59,347b0140,3A2589,197,41000,458,,FA8X,F-OJMJ,1711211508,LBG,DKR,,,0,0,DSO16MJ,DSO
19,42.05,0.0,30.81,347af544,732541,109,41000,451,,A332,EP-IJA,1711211506,FRA,IKA,IR720,IR,0,-64,IRA720,IRA
22,36.65,0.0,43.46,347abca7,45D93A,134,41000,528,,GL5T,OY-VIZ,1711211243,LBG,EBL,VMP944,VM,0,0,VMP944,VMP
24,52.01,0.0,9.51,347b1244,45B187,359,41000,458,,CL60,OY-LLG,1711211508,PMI,BLL,,,0,-64,SUS3GB,SUS
27,50.06,0.0,4.79,347b3c05,30095A,129,41000,458,,PC24,I-LRSL,1711211508,BQH,LIN,CPV714,CP,0,-128,CPV714,CPV
29,46.62,0.0,1.11,347b2748,3CF571,207,41000,410,,C25B,D-CUGF,1711211508,PAD,AGP,,,0,0,ATL6U,ATL
33,37.34,0.0,-5.94,347b29c1,3CE690,261,40225,371,,PC24,D-COPS,1711211510,PMI,FAO,PTN169,PT,0,-1088,PTN169,PTN
40,51.21,0.0,8.58,347a69bc,400A99,302,40000,421,,B737,G-NEWG,1711211509,DWC,NCL,,,0,-128,BRO922B,BRO
47,51.18,0.0,4.23,34799b10,8990EC,290,40000,454,,A359,B-18917,1711211510,TPE,LHR,CI81,CI,0,0,CAL081,CAL
54,36.55,0.0,33.51,347b331f,4BB47A,340,40000,622,,A332,TC-MCZ,1711211508,TLV,IST,MB541,MB,0,0,MNB541,MNB
61,49.6,0.0,6.89,347b3640,4D238B,311,40000,433,,E550,9H-LFX,1711211508,VCE,LTN,,,0,0,FJO66L,LXJ
105,40.73,0.0,48.28,347afe9f,440CE0,88,39025,523,,B744,OE-LRG,1711211509,TLV,HKG,5C851,5C,0,0,ICL851,CHG
119,41.85,0.0,39.36,347ad568,5140C2,91,39000,468,,B737,4L-NIK,1711211505,NCE,TBS,A9768,A9,0,0,TGZ768,TGZ
135,34.52,0.0,35.2,347ab5e5,740D29,113,39000,516,,E35L,JY-CII,1711211507,FAB,ADJ,,,0,64,JYCII,AWS
140,44.46,0.0,-9.31,347b2104,4CC546,348,39000,396,,A21N,TF-PLB,1711211509,AGP,KEF,,,0,64,FPY43M,FPY
193,37.68,0.0,23.87,347b1bc8,501C1C,141,38975,467,,A320,9A-BTK,1711211508,LJU,HRG,C3175,C3,0,-64,TDR175,TDR
215,48.48,0.0,9.69,347b04b7,46D1F9,307,38025,372,,C650,SX-TOY,1711211506,ATH,BQH,LLK601,LL,0,128,LLK601,LLK
222,59.65,0.0,11.37,347b1900,440028,190,38000,380,,C55B,OE-GPS,1711211504,TOS,DUS,,,0,-64,TYW848S,TYW
227,52.89,0.0,19.24,347b3a2d,4B0294,236,38000,400,,E295,HB-AZK,1711211504,VNO,ZRH,LX1341,LX,0,64,SWR1341,OAW
286,48.95,0.0,19.14,347b2d49,508405,295,38000,410,,B738,UR-SQC,1711211508,RMO,CDG,5F901,5F,0,0,FIA901,SQP
304,56.9,0.0,24.42,347a3160,7810C6,274,38000,426,,A332,B-8776,1711211504,CKG,LHR,GS7965,GS,0,-64,GCR7965,GCR
320,45.84,0.0,11.75,347b305b,3CF68E,335,38000,440,,LJ60,D-CURE,1711211508,SUF,CGN,,,0,-64,ADN64E,ADN
331,44.09,0.0,18.31,347b2a8b,5082E6,241,38000,401,,B739,UR-PSI,1711211510,RMO,FCO,5F297,5F,0,-128,FIA297,WRC
363,39.71,0.0,39.66,347b0f68,730601,282,38000,439,,A343,EP-APA,1711211507,IKA,IST,EP512,EP,0,0,IRC512,IRC
364,35.72,0.0,0.3,347a91e0,710D87,244,38000,418,,A333,HZ-NE23,1711211509,JED,CMN,XY663,XY,0,0,KNE663,KNE
370,40.07,0.0,34.67,347b0afa,7335B4,278,38000,462,,A343,EP-MMT,1711211509,IKA,IST,W5114,W5,0,0,IRM114,IRM
371,34.6,0.0,48.39,347aed06,3CCD4B,324,38000,400,,LJ60,D-CFAX,1711211507,DWC,TZX,IFA1065,IF,0,0,IFA1065,IFA
380,39.32,0.0,30.2,347ae76d,717CB6,336,37975,439,,A20N,HZ-FBB,1711211508,JED,IST,F3807,F3,0,0,FAD807,FAD
539,42.39,0.0,33.91,347ad9ce,682308,98,37000,412,,A320,JU-1410,1711211507,CDG,EVN,OE928,OE,0,0,FOE928,FIA
544,33.86,0.0,24.6,347add5a,0100F6,137,37000,484,,B738,SU-BPZ,1711211509,MAD,LXR,AMV6184,AM,0,0,AMV6184,AMV
575,34.99,0.0,30.87,347b4256,4B990E,178,37000,429,,A320,TC-FHN,1711211510,AYT,SSH,FH759,FH,0,64,FHY759,FHY
635,62.25,0.0,29.56,347ab547,78131E,62,37000,511,,A332,B-1043,1711211508,LIS,HGH,JD622,JD,0,-64,CBJ622,CBJ
665,41.54,0.0,3.19,347b34e2,39C5CA,182,37000,466,,A333,F-HROK,1711211509,ORY,ABJ,SS984,SS,0,0,CRL984,CRL
676,42.99,0.0,4.98,347b30e6,3E3D01,228,37000,330,,C25A,D-IOHL,1711211509,BLQ,BCN,,,0,-64,ECA2HL,ECA
716,56.28,0.0,30.37,347b0bb6,4CAA15,94,36975,563,,B789,EI-MGL,1711211510,FRA,UBN,OM138,OM,0,-64,MGL138,MGL
745,53.58,0.0,7.93,3479f2b8,781112,234,36525,459,,B789,B-7838,1711211509,XMN,AMS,MF811,MF,0,-1472,CXA811,CXA
789,50.7,0.0,22.25,347acd91,503D74,5,36025,483,,A320,LY-PNG,1711211507,HRG,TLL,MYX586,MY,0,-64,MYX586,HST
796,37.57,0.0,-6.76,347b1a86,3474CE,41,36025,497,,B738,EC-OBN,1711211510,TFN,MAD,WT183,WT,0,64,SWT183,NPT
864,50.78,0.0,14.48,347ac46b,0101B4,334,36000,463,,A320,SU-BQM,1711211509,HRG,BRE,NP6291,NP,0,-64,NIA6291,NIA
