id,icao_24bit,aircraft_code,registration,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,time,duration,latitude,longitude,altitude,ground_speed,turn1,turn2,turn3,turn4,deltaD1,deltaD2,deltaD3,deltaD4
3479f758,885178,B77W,HS-TKX,BKK,LHR,TG916,THA,THA916,31.2,20.783333333333335,49.72,10.32,34596.42857142857,449.7142857142857,2,2,2,2,1012.046785570587,-1012.046785570587,736.1968919658793,-386.18392027482315
347a0e38,76CD43,A359,9V-SJC,SIN,CDG,SQ332,SIA,SIA332,45.1,20.658333333333335,49.255,10.16,38262.5,458.25,3,9,15,0,0.0,2192.25498757555,-177.07474485031707,0.0
347a113c,781284,A333,B-1017,SZX,LHR,ZH9067,CSZ,CSZ9067,17.35,19.65,56.14,14.59,35415.0,441.9,14,3,0,12,0.0,0.0,465.7581754387824,1093.2132136371533
347a1bba,71C362,A359,HL8362,ICN,FCO,OZ561,AAR,AAR561,31.183333333333334,20.28095238095238,40.87,20.72,37903.57142857143,457.2857142857143,4,2,10,8,0.0,667.6881817847185,-667.6881817847185,0.0
347a1c11,89900D,B77W,B-16739,BKK,LHR,BR67,EVA,EVA067,1.1666666666666667,20.533333333333335,50.88,8.69,36005.0,448.2,11,2,2,22,0.0,0.0,0.0,493.886886025533
347a1f0d,39B221,B77L,F-HMRB,HKG,CDG,2C611,CMA,CMA611,18.416666666666664,20.152380952380955,45.795,22.075,34703.57142857143,461.57142857142856,1,0,3,15,0.0,0.0,0.0,0.0
347a26ec,780204,B77W,B-KPD,HKG,LHR,CX253,CPA,CPA253,17.25,19.901666666666664,48.205,15.745000000000001,36000.0,453.0,2,2,17,18,0.0,936.4577582353016,-936.4577582353016,0.0
347a3160,7810C6,A332,B-8776,CKG,LHR,GS7965,GCR,GCR7965,46.35,19.397916666666667,55.129999999999995,13.415,38000.0,439.875,18,6,3,9,0.0,0.0,0.0,971.6149747730876
347a3263,770590,A333,4R-ALP,CMB,LHR,UL503,ALK,ALK503,16.183333333333334,20.658333333333335,49.504999999999995,10.52,40000.0,441.1666666666667,2,3,2,3,-1158.4554485717165,328.95557155348564,186.48551766690838,-331.46036618557025
347a50d1,5110FC,SF34,ES-NSC,,,OJ903,NYX,,46.13333333333333,23.158333333333335,60.870000000000005,25.93,14381.25,232.25,50,16,4,0,0.0,0.0,138.30700498333104,0.0
347a69bc,400A99,B737,G-NEWG,DWC,NCL,,BRO,BRO922B,45.15,18.891666666666666,52.55,4.915,40000.0,422.75,2,15,9,0,0.0,0.0,0.0,0.0
347a7813,600865,IL76,4K-AZ101,LPA,GYD,ZP2123,AZQ,AZQ2123,1.15,20.026666666666664,41.53,43.57,32145.0,414.8,4,2,9,2,3511.018625885221,1753.6173593650774,-3476.9911114212628,3962.2299547230423
347a79b0,A8320E,B748,N627UP,SDF,DXB,5X76,UPS,UPS76,32.36666666666667,20.78181818181818,44.43,16.75,35547.72727272727,508.3636363636364,11,2,7,25,0.0,0.0,6738.741909258432,-6738.741909258432
347a8b71,E07211,A332,LV-GHQ,EZE,FCO,AR1140,ARG,ARG1140,1.2,14.183333333333334,37.86,4.81,39600.0,508.6,34,2,1,18,0.0,1389.5609792208552,383.8670301998968,-1502.6026036131216
347aa1ee,4A1A61,B744,YR-FSA,SHJ,BHX,NJ3319,RCR,RCR3319,31.183333333333334,19.523809523809522,48.6,9.9,34000.0,456.42857142857144,1,2,7,18,0.0,0.0,0.0,0.0
347ab226,AAA32D,B788,N785AV,BOG,MAD,AV46,AVA,AVA046,16.25,22.655555555555555,39.53,-10.105,36291.666666666664,435.1666666666667,7,1,2,24,-4137.662181069398,1408.2053429041025,-4917.188062759833,-366.873996902993
347ab547,78131E,A332,B-1043,LIS,HGH,JD622,CBJ,CBJ622,16.2,19.144444444444442,63.475,40.78,37000.0,507.1666666666667,14,5,3,10,0.0,0.0,0.0,0.0
