,id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
0,345119eb,7583EB,B77W,RP-C7778,0,MNL,BER,PR1,PAL,PAL001,4.0,18.0,18.0,-429.863787,-414.3128255,-415.934497,19.0,58.755,26.87,38000.0,459.0
1,3451d388,407D52,B744,G-UNET,0,MCT,LHR,HC311,HGO,HGO311,3.0,6.0,1.0,-443.4481375,-469.3598315,-478.2327305,19.2,48.01,15.77,34000.0,483.6
2,3451e76b,,GLF5,,0,,,,,GLF5,9.0,8.0,3.0,0.0,0.0,0.0,21.6,39.92,7.48,36000.0,429.6
3,3451fb8d,3E28B8,C303,D-IGPS,1,,,,,DIGPS,16.0,15.0,193.0,0.0,0.0,0.0,11.33333333,50.11,9.265,4370.833333,136.3333333
4,345212fb,C2B3EB,C17,177703,0,,,CFC3658,CFC,CFC3658,6.0,71.0,33.0,0.0,0.0,0.0,21.83333333,43.055,8.685,30166.66667,397.0
5,34522037,4AC8E7,A320,SE-RGG,0,FUE,ARN,,BRX,BIX213U,13.0,4.0,3.0,-405.6038009,-408.1002598,-401.4462933,19.0,54.245,8.935,38368.75,439.0
6,34522c2a,,GLF6,,0,,,,,GLF6,49.0,21.0,16.0,0.0,0.0,0.0,2.8,44.48,25.775,40752.5,430.8
7,34523b26,38E83B,A35K,F-WMIL,1,TLS,TLS,,AIB,AIB18IL,11.0,1.0,182.0,387.8108298,-36.01942382,10.7472835,19.2,47.53,-2.1,37975.0,469.4
8,34525956,4AC8E8,A320,SE-RGH,0,FUE,GOT,TT2521,BRX,BIX2521,12.0,3.0,6.0,-387.6862845,-368.1164194,-374.0304725,19.5,49.005,1.3,36008.33333,418.6666667
9,34525ee2,3A2E23,B77W,F-OLRD,0,CDG,RUN,UU974,REU,REU974,3.0,1.0,3.0,-462.532976,-440.4856048,-435.9606364,19.8,41.72,12.04,30995.0,498.8
10,34526699,500194,A306,T7-ASK,0,TLV,LGG,LY821,SMF,ELY821,0.0,1.0,35.0,-433.6811359,-432.2541213,-443.1490438,19.0,46.375,15.655,31493.75,471.25
11,34527026,781133,A332,B-8981,0,HGH,LIS,JD621,CBJ,CBJ621,13.0,15.0,21.0,-411.0504013,-411.3133159,-836.3573055,3.636363636,54.4,9.32,36938.63636,450.1818182
12,34527157,44B8B9,E545,OO-NEY,0,SID,BRU,,BNJ,OONEY,1.0,2.0,4.0,-428.5676044,-418.6255077,-418.8050861,20.16666667,42.07,-8.285,37300.0,428.3333333
13,34527392,503D17,H25B,LY-LTA,0,GVA,LCA,LTC601,LTC,LTC601,3.0,10.0,7.0,-396.9476316,-433.69207,-413.6878122,19.2,38.22,23.41,39175.0,445.6
14,34527b53,E8021A,B763,CC-CXD,0,FRA,SID,UC1501,LCO,LCO1501,8.0,1.0,3.0,-413.4533794,-422.8090633,-413.8566794,19.0,39.44,-8.96,33006.25,453.5
15,34527c82,150640,GL5T,RA-67136,1,ISL,VKO,RSJ7136,RSJ,RSJ7136,24.0,9.0,266.0,-170.0116263,-43.75492251,-84.23100851,20.4,44.21,38.54,36580.0,478.2
16,34527ec4,4BB164,B77W,TC-LKD,0,IST,DEL,6.00E+12,IGO,IGO012,4.0,17.0,4.0,-514.1707636,-504.8873375,-470.1589306,19.0,38.865,44.71,37000.0,535.25
17,34528670,49D283,B738,OK-TVY,0,FNC,PRG,QS1171,,TVS6P7,13.0,21.0,6.0,-408.730465,-398.594489,-399.6958339,19.5,44.555,3.16,35350.0,431.1666667
18,34528b79,738286,A320,4X-ABI,0,PRG,TLV,6H768,ISR,ISR768,12.0,7.0,13.0,-401.5409499,-407.7845388,-405.9451621,19.5,42.22,25.955,38991.66667,444.6666667
19,34529043,3A2E24,B77W,F-OLRE,0,RUN,CDG,UU975,REU,REU975,2.0,14.0,3.0,-414.7645406,-874.1164396,-425.6339915,2.833333333,44.77,10.695,27387.5,374.5
20,345296f4,,GLEX,,0,,,,,GLEX,19.0,10.0,2.0,0.0,0.0,0.0,20.0,40.8,41.0,39981.25,551.5
21,3452a08b,39A054,H25B,F-HICU,0,ROB,BOD,ARL127,ARL,ARL127,3.0,1.0,12.0,-388.8359199,-380.8886092,-366.0532899,22.5,38.925,-4.52,37943.75,414.75
22,3452a0f6,495275,B763,CS-TSU,0,LIS,PVG,,MMZ,MMZ609M,28.0,16.0,1.0,-344.4181659,-339.1371584,-351.2394544,20.7,40.895,22.755,35402.5,509.1
23,3452a170,,BE40,,0,,,,,BE40,2.0,32.0,27.0,0.0,0.0,0.0,19.0,40.485,24.89,40000.0,377.5
24,3452a591,3C79C1,A320,D-ANNA,0,BEY,BER,SR111,SDR,SDR11DL,3.0,1.0,4.0,-374.3558042,-366.3119467,-403.3393455,19.5,44.26,24.7,33175.0,442.6666667
25,3452a86b,738062,B738,4X-EKR,0,WAW,TLV,LY5102,,ELY5102,1.0,1.0,10.0,-390.0724437,-394.5681577,-403.3678955,19.2,41.57,26.81,37000.0,444.8
