id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,number,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
345119eb,7583EB,B77W,RP-C7778,FALSE,MNL,BER,PR1,PAL,PAL001,4,18,18,-429.863787,-414.3128255,-415.934497,19,58.755,26.87,38000,459
3451d388,407D52,B744,G-UNET,FALSE,MCT,LHR,HC311,HGO,HGO311,3,6,1,-443.4481375,-469.3598315,-478.2327305,19.2,48.01,15.77,34000,483.6
3451e76b,,GLF5,,FALSE,,,,,GLF5,9,8,3,0,0,0,21.6,39.92,7.48,36000,429.6
3451fb8d,3E28B8,C303,D-IGPS,TRUE,,,,,DIGPS,16,15,193,0,0,0,11.33333333,50.11,9.265,4370.833333,136.3333333
345212fb,C2B3EB,C17,177703,FALSE,,,CFC3658,CFC,CFC3658,6,71,33,0,0,0,21.83333333,43.055,8.685,30166.66667,397
34522037,4AC8E7,A320,SE-RGG,FALSE,FUE,ARN,,BRX,BIX213U,13,4,3,-405.6038009,-408.1002598,-401.4462933,19,54.245,8.935,38368.75,439
34522c2a,,GLF6,,FALSE,,,,,GLF6,49,21,16,0,0,0,2.8,44.48,25.775,40752.5,430.8
34523b26,38E83B,A35K,F-WMIL,TRUE,TLS,TLS,,AIB,AIB18IL,11,1,182,387.8108298,-36.01942382,10.7472835,19.2,47.53,-2.1,37975,469.4
34525956,4AC8E8,A320,SE-RGH,FALSE,FUE,GOT,TT2521,BRX,BIX2521,12,3,6,-387.6862845,-368.1164194,-374.0304725,19.5,49.005,1.3,36008.33333,418.6666667
34525ee2,3A2E23,B77W,F-OLRD,FALSE,CDG,RUN,UU974,REU,REU974,3,1,3,-462.532976,-440.4856048,-435.9606364,19.8,41.72,12.04,30995,498.8
34526699,500194,A306,T7-ASK,FALSE,TLV,LGG,LY821,SMF,ELY821,0,1,35,-433.6811359,-432.2541213,-443.1490438,19,46.375,15.655,31493.75,471.25
34527026,781133,A332,B-8981,FALSE,HGH,LIS,JD621,CBJ,CBJ621,13,15,21,-411.0504013,-411.3133159,-836.3573055,3.636363636,54.4,9.32,36938.63636,450.1818182
34527157,44B8B9,E545,OO-NEY,FALSE,SID,BRU,,BNJ,OONEY,1,2,4,-428.5676044,-418.6255077,-418.8050861,20.16666667,42.07,-8.285,37300,428.3333333
34527392,503D17,H25B,LY-LTA,FALSE,GVA,LCA,LTC601,LTC,LTC601,3,10,7,-396.9476316,-433.69207,-413.6878122,19.2,38.22,23.41,39175,445.6
34527b53,E8021A,B763,CC-CXD,FALSE,FRA,SID,UC1501,LCO,LCO1501,8,1,3,-413.4533794,-422.8090633,-413.8566794,19,39.44,-8.96,33006.25,453.5
34527c82,150640,GL5T,RA-67136,TRUE,ISL,VKO,RSJ7136,RSJ,RSJ7136,24,9,266,-170.0116263,-43.75492251,-84.23100851,20.4,44.21,38.54,36580,478.2
34527ec4,4BB164,B77W,TC-LKD,FALSE,IST,DEL,6.00E+12,IGO,IGO012,4,17,4,-514.1707636,-504.8873375,-470.1589306,19,38.865,44.71,37000,535.25
34528670,49D283,B738,OK-TVY,FALSE,FNC,PRG,QS1171,,TVS6P7,13,21,6,-408.730465,-398.594489,-399.6958339,19.5,44.555,3.16,35350,431.1666667
34528b79,738286,A320,4X-ABI,FALSE,PRG,TLV,6H768,ISR,ISR768,12,7,13,-401.5409499,-407.7845388,-405.9451621,19.5,42.22,25.955,38991.66667,444.6666667
34529043,3A2E24,B77W,F-OLRE,FALSE,RUN,CDG,UU975,REU,REU975,2,14,3,-414.7645406,-874.1164396,-425.6339915,2.833333333,44.77,10.695,27387.5,374.5
345296f4,,GLEX,,FALSE,,,,,GLEX,19,10,2,0,0,0,20,40.8,41,39981.25,551.5
3452a08b,39A054,H25B,F-HICU,FALSE,ROB,BOD,ARL127,ARL,ARL127,3,1,12,-388.8359199,-380.8886092,-366.0532899,22.5,38.925,-4.52,37943.75,414.75
3452a0f6,495275,B763,CS-TSU,FALSE,LIS,PVG,,MMZ,MMZ609M,28,16,1,-344.4181659,-339.1371584,-351.2394544,20.7,40.895,22.755,35402.5,509.1
