"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"45.72","-1.76","345397e0","","108","47000","511","","GL5T","","1710225341","","","","","0","0","GL5T",""
"50.3","5.3","34543af0","","113","45000","528","","GL7T","","1710225341","","","","","0","-64","GL7T",""
"49.99","-7.77","3453dae4","","98","45000","531","","GLF6","","1710225341","","","","","0","0","GLF6",""
"40.7","7.52","345383a2","","96","45000","543","","GLF6","","1710225341","","","","","0","-128","GLF6",""
"52.99","-15.2","3453d5ae","","91","43000","503","","FA7X","","1710225340","","","","","0","0","FA7X",""
"56.73","-5.64","3453d730","4ACA65","86","43000","518","","A359","SE-RSE","1710225341","EWR","CPH","SK910","SK","0","0","SAS910","SAS"
"46.88","15.16","34544e04","44B4A4","126","43000","466","","LJ45","OO-MED","1710225340","LGG","PFO","","","0","128","OOMED",""
"59.75","19.78","34545336","461F55","246","41775","472","","A359","OH-LWN","1710225341","HEL","LHR","AY1331","AY","0","896","FIN3ML","FIN"
"43.12","-10.21","345451ca","4D2122","294","41000","440","","GLEX","9H-NBB","1710225339","MAD","HPN","","","0","0","EAU53B",""
"45.37","3.13","34545706","3964E9","160","41000","494","","B738","F-GZHJ","1710225341","ORY","SFA","TO8098","TO","0","0","TVF8098","TRA"
"40.65","34.96","3453cc14","80165C","119","41000","498","","B38M","VT-BXN","1710225340","KEF","KWI","IX4","IX","0","0","AXB004",""
"44.82","47.62","34542166","","358","41000","418","","E35L","","1710225339","","","","","0","64","E35L",""
"46.98","23.07","345452f4","4891A6","152","41000","440","","B738","SP-ENG","1710225341","KTW","HRG","E45873","E4","0","0","ENT5873","ENT"
"41.43","33.08","3454241d","04015C","112","41000","519","","B77L","ET-AVT","1710225339","LGG","BOM","ET3610","ET","0","64","ETH3610","ETH"
"48.17","-11.36","3453a30a","4D243D","101","41000","523","","GL7T","9H-VIO","1710225335","HPN","GVA","VJT793","VJ","0","0","VJT793","VJT"
"52.43","10.41","34536724","347555","89","41000","463","","A332","EC-OAP","1710225342","VRA","WAW","PU942","PU","0","0","PUE942","PUE"
"54.98","-14.76","34536acc","","99","41000","524","","GLF5","","1710225339","","","","","0","64","GLF5",""
"49.03","9.12","34544f4d","","120","41000","525","","GLF6","","1710225340","","","","","0","0","GLF6",""
"47.06","11.3","3454574e","","213","41000","521","","GA5C","","1710225342","","","","","0","-64","GA5C",""
"53.99","-14.64","34539c83","3C6708","91","41000","443","","A359","D-AIXH","1710225339","DEN","MUC","LH481","LH","0","0","DLH481","DLH"
"52.91","11.05","34545a09","3CDDE1","278","41000","368","","E55P","D-CLIF","1710225341","BER","GRQ","","","0","0","SFG55A","SFG"
"52.28","-4.24","34537398","39D2A6","117","41000","546","","A359","F-HUVG","1710225339","ORD","CDG","AF137","AF","0","0","AFR137","AFR"
"55.01","-10.43","3453ba1f","A2CA5D","91","41000","530","","B788","N27901","1710225341","ORD","AMS","UA909","UA","0","0","UAL909","UAL"
"51.27","-2.4","3453b0b0","3C6704","91","41000","534","","A359","D-AIXD","1710225341","CLT","MUC","LH429","LH","0","0","DLH429","DLH"
"50.58","20.34","34545399","489220","162","41000","443","","B738","SP-ESA","1710225341","GDN","HRG","E45647","E4","0","0","ENT5647","ENT"
"53.68","-8.94","3453e334","3C66C1","112","41000","530","","A359","D-AIVA","1710225342","YUL","MUC","LH475","LH","0","0","DLH475","DLH"
"41.99","3.3","3452707c","789242","233","41000","485","","A359","B-LQE","1710225342","HKG","MAD","CX315","CX","0","-64","CPA315","CPA"
"45.68","12.71","34543d28","","133","41000","522","","GL7T","","1710225339","","","","","0","0","GL7T",""
"48.16","17.05","345434ca","440CAF","116","41000","436","","B738","OE-LVC","1710225342","FRA","TSR","3V4694","3V","0","0","TAY6SR","ABR"
"50.7","-8.66","3453ce9b","4B1880","110","41000","523","","A333","HB-JHG","1710225342","JFK","GVA","LX23","LX","0","0","SWR23A","SWR"
"44.34","-7.27","3453b887","AC3448","109","40975","510","","B788","N886BR","1710225341","PHL","BCN","AA742","AA","0","0","AAL742","AAL"
"47.42","6.59","34545cfe","3E1DCB","213","40325","358","","C25A","D-ICMD","1710225339","ZQW","FAO","","","0","512","DICMD",""
"37.25","29.96","3454426f","4BCDA5","281","40025","385","","B38M","TC-SME","1710225340","GZT","ADB","XQ9129","XQ","0","0","SXS8U","SXS"
"34.01","-13.11","34536d67","E494F1","34","40000","466","","A339","PR-ANX","1710225341","VCP","LIS","AD8750","AD","0","64","AZU8750","AZU"
"62.41","11.25","34544769","478772","194","40000","436","","B738","LN-DYU","1710225341","TOS","OSL","DY371","DY","0","-64","NOZ1KV","NOZ"
"54.42","-12.1","3453dfc2","A4B0BB","110","40000","511","","A339","N401DZ","1710225339","BOS","CDG","DL224","DL","0","0","DAL224","DAL"
"43.96","26.55","34545aa7","4BB1E6","338","40000","478","","A333","TC-LOF","1710225336","IST","BER","TK1721","TK","0","128","THY8VN","THY"
"42.61","-1.34","3454508d","4CA816","115","40000","477","","B738","EI-EKX","1710225341","SCQ","PMI","FR724","FR","0","0","RYR5MB","RYR"
"47.17","5.86","34545591","3008D2","323","40000","437","","GLEX","I-WLFZ","1710225340","LIN","EWR","SIO231","SI","0","-64","SIO231","SIO"
"50.63","-9.41","3453af5a","3C6563","82","40000","552","","A333","D-AIKC","1710225342","PUJ","FRA","4Y3","4Y","0","0","OCN3","OCN"
"50.29","11.72","3452babd","76CD45","283","40000","477","","A359","9V-SJE","1710225341","SIN","MAN","SQ52","SQ","0","0","SIA52","SIA"
"58.07","12.75","345457b9","4ACA45","233","40000","432","","B738","SE-RRE","1710225342","ARN","LGW","D84451","D8","0","-64","NSZ51M","NOZ"
"41.97","33.61","345429c9","48AE80","286","40000","356","","B738","SP-LWA","1710225339","GYD","WAW","LO722","LO","0","0","LOT7KT","LOT"
"58.03","17.51","3454501e","461E1B","234","40000","437","","E190","OH-LKL","1710225340","HEL","BRU","AY1541","AY","0","0","FIN52V","FIN"
"55.71","7.51","34545002","48418B","200","40000","450","","B739","PH-BXP","1710225340","OSL","AMS","KL1140","KL","0","0","KLM1140","KLM"
"38.4","45.31","34544fff","7335A5","300","40000","367","","A346","EP-MME","1710225342","IKA","IST","W5116","W5","0","0","IRM116","IRM"
"39.78","41.85","3453a97e","4BB1E7","290","40000","380","","A333","TC-LOG","1710225341","ISB","IST","TK711","TK","0","0","THY8LG","THY"
"43.61","24.87","345446fc","4BA933","303","40000","455","","A332","TC-JIS","1710225341","IST","ZRH","TK1907","TK","0","0","THY20D","THY"
"51.81","3.79","34539c2f","8964B5","276","40000","446","","A388","A6-EVG","1710225339","DXB","LHR","EK7","EK","0","0","UAE7","UAE"
"53.64","22.65","34544b25","461E21","222","40000","428","","E190","OH-LKR","1710225339","HEL","WAW","AY1141","AY","0","-64","FIN1HF","FIN"
"49.07","-0.96","34544ad8","4D228F","349","40000","366","","B738","9H-QEA","1710225342","TLS","STN","FR282","FR","0","0","RYR16UR","RYR"
"48.41","5.81","34544f58","4863DC","342","40000","401","","E295","PH-NXD","1710225340","MRS","AMS","KL1264","KL","0","64","KLM1264","KLM"
"64.99","12.86","345454b5","47A743","195","40000","446","","B738","LN-NGM","1710225341","BOO","OSL","DY341","DY","0","0","NOZ1BG","NOZ"
"36.55","24.36","34537745","39CF0C","320","40000","448","","A359","F-HTYM","1710225340","TNR","CDG","AF935","AF","0","0","AFR935","AFR"
"46.46","20.59","34533e5e","39D2A2","297","40000","480","","A359","F-HUVC","1710225340","MAA","CDG","AF115","AF","0","64","AFR115","AFR"
"44.12","-9.87","3453c198","AA9093","138","40000","487","","B772","N780AN","1710225341","JFK","MAD","AA94","AA","0","0","AAL94","AAL"
"58.55","8.97","345455b8","479227","214","40000","420","","B738","LN-NIN","1710225342","OSL","LGW","DY1302","DY","0","0","NOZ32A","NOZ"
"49.42","9.51","34531fae","396446","275","40000","450","","A332","F-GZCG","1710225340","BLR","CDG","AF191","AF","0","-64","AFR191","AFR"
"47.68","19.7","34543d12","39B228","312","40000","472","","A332","F-HMRI","1710225341","IST","PRG","TK6295","TK","0","0","THY6295","CMA"
"45.67","-1.97","34545b2c","4864EB","17","40000","394","","E295","PH-NXN","1710225340","BIO","AMS","KL1684","KL","0","-64","KLM86W","KLM"
"50.16","-12.97","34533016","4067F6","83","40000","552","","B788","G-TUIB","1710225342","CUN","LGW","BY39","BY","0","0","TOM039","TUI"
"39.42","19.45","3454302d","4BA9C9","250","40000","410","","A333","TC-JNI","1710225340","IST","ALG","TK651","TK","0","64","THY1YW","THY"
"35.21","6.88","3453b832","04C159","348","40000","448","","B788","5Y-KZG","1710225339","NBO","LHR","KQ102","KQ","0","-64","KQA102","KQA"
"47.08","4.4","3454512f","4864EE","332","40000","397","","E295","PH-NXO","1710225341","NCE","AMS","KL1250","KL","0","-64","KLM10Z","KLM"
"45.38","-12.39","3453d4c5","AAE958","107","40000","492","","B788","N802AN","1710225335","PHL","MAD","AA740","AA","0","0","AAL740","AAL"
"50.93","5.19","34534f35","4072EA","290","40000","452","","B789","G-VWOO","1710225342","DEL","LHR","VS303","VS","0","-64","VIR303","VIR"
"37.07","30.1","34545103","4BCDEB","285","40000","388","","B38M","TC-SOK","1710225342","ADA","ADB","XQ9007","XQ","0","64","SXS22V","SXS"
"35.92","12.98","3453efd2","0A0046","276","40000","398","","A332","7T-VJX","1710225340","JED","ALG","AH461","AH","0","0","DAH461","DAH"
"44.13","24.81","345444c7","4BA92F","314","40000","471","","A332","TC-JIO","1710225342","IST","AMS","TK1951","TK","0","0","THY43D","THY"
"41.16","37.89","345408c7","503D6D","274","40000","386","","A332","LY-TKL","1710225335","TAS","IST","HY271","HY","0","0","UZB271","UZB"
"48.71","13.12","3452dabc","750449","297","40000","482","","A359","9M-MAB","1710225338","KUL","LHR","MH2","MH","0","-320","MAS2","MAS"
"44.34","-7.6","3453cf99","C058C3","123","39975","513","","B788","C-GHPY","1710225342","YUL","TLS","AC878","AC","0","-64","ACA878","ACA"
"51.96","-10.37","345386d7","3C4A01","92","39975","540","","B789","D-ABPA","1710225342","AUS","FRA","LH469","LH","0","64","DLH469","DLH"
"49.19","2.55","3453192a","406F75","335","39975","406","","B789","G-ZBKI","1710225340","JNB","LHR","BA54","BA","0","64","BAW54","BAW"
"36.21","10.15","3453eab8","347281","278","39950","384","","A333","EC-NTY","1710225340","MED","CZL","SV9362","SV","0","0","SVA9362","SVA"
